Timestamp,1. open,2. high,3. low,4. close,5. volume
29-12-2017,169.95,177.2,166.46,169.23,518560008
30-11-2017,169.87,176.24,165.28,171.85,581374608
31-10-2017,154.26,169.6499,152.46,169.04,496135305
29-09-2017,164.8,164.94,149.16,154.12,669594016
31-08-2017,149.1,164.52,148.41,164,638221161
31-07-2017,144.88,153.99,142.41,148.73,411377229
30-06-2017,153.17,155.98,142.2,144.02,664986406
31-05-2017,145.1,156.65,144.27,152.76,635292989
28-04-2017,143.71,145.46,140.06,143.65,371280180
31-03-2017,137.89,144.5,137.05,143.66,562091214
28-02-2017,127.03,137.48,127.01,136.99,574968547
31-01-2017,115.8,122.44,114.76,121.35,563331160
30-12-2016,110.365,118.0166,108.25,115.82,608771645
30-11-2016,113.46,113.77,104.08,110.52,721554967
31-10-2016,112.71,118.69,112.28,113.54,686914224
30-09-2016,106.14,116.18,102.53,113.05,970096738
31-08-2016,104.41,110.23,104,106.1,630128567
29-07-2016,95.49,104.55,94.37,104.21,685779613
30-06-2016,99.02,101.89,91.5,95.6,780630235
31-05-2016,93.965,100.73,89.47,99.86,901144768
29-04-2016,108.78,112.39,92.51,93.74,872383623
31-03-2016,97.65,110.42,97.42,108.99,745756771
29-02-2016,96.47,98.89,92.59,96.69,810862547
29-01-2016,102.61,105.85,92.39,97.34,1271848087
31-12-2015,118.75,119.86,104.82,105.26,922626259
30-11-2015,119.87,123.82,111,118.3,750606735
30-10-2015,109.07,121.22,107.31,119.5,1113703829
30-09-2015,110.18,116.89,107.36,109.95,1203789074
31-08-2015,121.5,122.57,92,112.76,1606359115
31-07-2015,126.9,132.97,119.22,121.3,1058280697
30-06-2015,131.2,131.39,124.48,125.425,878606841
29-05-2015,126.1,132.97,123.36,130.28,954152126
30-04-2015,124.82,134.54,123.1,125.15,996135511
31-03-2015,129.25,130.28,121.63,124.43,1138641910
27-02-2015,118.05,133.6,116.08,128.46,1136535493
30-01-2015,111.39,120,104.63,117.16,1304879185
31-12-2014,118.81,119.25,106.26,110.38,1073775862
28-11-2014,108.22,119.75,107.72,118.93,820471729
31-10-2014,100.59,108.04,95.18,108,1360280122
30-09-2014,103.06,103.74,96.14,100.75,1523782675
29-08-2014,94.9,102.9,93.28,102.5,930931500
31-07-2014,93.52,99.44,92.57,95.6,1035191700
30-06-2014,633.96,651.26,89.65,92.93,853194497
30-05-2014,592,644.17,580.33,633,204845300
30-04-2014,537.76,599.43,511.33,590.09,229823600
31-03-2014,523.42,549,522.81,536.74,178632100
28-02-2014,502.61,551.19,499.3,526.24,210013100
31-01-2014,555.68,560.2,493.55,500.6,313069800
31-12-2013,558,575.1358,538.8,561.02,252049900
29-11-2013,524.02,558.33,512.38,556.07,186612700
31-10-2013,478.45,539.25,478.28,522.702,279919000
30-09-2013,493.1,507.92,447.22,476.75,308247900
30-08-2013,455.7527,513.74,453.26,487.216,287797800
31-07-2013,402.69,457.3425,401.22,452.53,233504100
28-06-2013,450.73,454.43,388.87,396.53,250662000
31-05-2013,444.46,465.75,418.9,449.735,337411800
30-04-2013,441.9,445.25,385.1,442.78,391553200
28-03-2013,438,469.95,419,442.66,327745600
